id,produto_id,cliente,nota,texto,sentimento,criado_em
1,7,Antônio,3,Produto funcionando normalmente. Tempo de entrega foi o padrão.,neutro,2025-11-17 22:01:52.961936
2,25,Ísis,1,"Decepcionante. A qualidade não é o que estava anunciado, parece falsificado.",negativo,2026-01-19 22:01:52.961936
3,7,Lara,5,Produto excelente! Superou todas as minhas expectativas. Entrega rápida e embalagem impecável.,positivo,2025-12-14 22:01:52.961936
4,24,André,3,Cumpre o que promete. Qualidade mediana para o preço.,neutro,2026-02-11 22:01:52.961936
5,14,Rafael,5,Fantástico! Vale cada centavo. Atendimento da loja também foi excelente.,positivo,2025-12-17 22:01:52.961936
6,7,Maria Julia,3,Cumpre o que promete. Qualidade mediana para o preço.,neutro,2026-02-12 22:01:52.961936
7,8,Isabela,5,Fantástico! Vale cada centavo. Atendimento da loja também foi excelente.,positivo,2025-11-19 22:01:52.961936
8,1,Vitor Gabriel,5,"Compra perfeita. Chegou antes do prazo, funciona muito bem. Com certeza comprarei novamente.",positivo,2025-11-10 22:01:52.961936
9,25,Maya,1,"Decepcionante. A qualidade não é o que estava anunciado, parece falsificado.",negativo,2025-12-21 22:01:52.961936
10,8,Maria Laura,1,"Decepcionante. A qualidade não é o que estava anunciado, parece falsificado.",negativo,2026-02-01 22:01:52.961936
11,1,João Felipe,3,Cumpre o que promete. Qualidade mediana para o preço.,neutro,2025-12-26 22:01:52.961936
12,23,João Pedro,5,"Muito satisfeito com a compra. O produto é exatamente como descrito, ótima qualidade.",positivo,2025-12-30 22:01:52.961936
13,12,Enzo Gabriel,4,"Muito satisfeito com a compra. O produto é exatamente como descrito, ótima qualidade.",positivo,2025-11-25 22:01:52.961936
14,5,José,5,"Muito satisfeito com a compra. O produto é exatamente como descrito, ótima qualidade.",positivo,2025-12-02 22:01:52.961936
15,22,Manuella,4,"Muito satisfeito com a compra. O produto é exatamente como descrito, ótima qualidade.",positivo,2026-01-04 22:01:52.961936
16,11,Caleb,3,Produto funcionando normalmente. Tempo de entrega foi o padrão.,neutro,2026-02-09 22:01:52.961936
17,16,Yan,3,Produto funcionando normalmente. Tempo de entrega foi o padrão.,neutro,2026-01-27 22:01:52.961936
18,3,Marcela,3,Compra razoável. Esperava um pouco mais mas não tenho do que reclamar.,neutro,2025-11-16 22:01:52.961936
19,23,Caleb,5,"Compra perfeita. Chegou antes do prazo, funciona muito bem. Com certeza comprarei novamente.",positivo,2026-03-24 22:01:52.961936
20,14,Diego,5,Produto excelente! Superou todas as minhas expectativas. Entrega rápida e embalagem impecável.,positivo,2026-03-05 22:01:52.961936
21,13,Gabriel,4,"Muito satisfeito com a compra. O produto é exatamente como descrito, ótima qualidade.",positivo,2026-02-13 22:01:52.961936
22,18,Maria Alice,2,"Decepcionante. A qualidade não é o que estava anunciado, parece falsificado.",negativo,2026-01-25 22:01:52.961936
23,2,Maria Clara,3,Compra razoável. Esperava um pouco mais mas não tenho do que reclamar.,neutro,2026-03-15 22:01:52.961936
24,16,Maitê,3,Cumpre o que promete. Qualidade mediana para o preço.,neutro,2026-03-23 22:01:52.961936
25,12,Agatha,3,Cumpre o que promete. Qualidade mediana para o preço.,neutro,2025-12-17 22:01:52.961936
26,5,Hellena,4,Produto excelente! Superou todas as minhas expectativas. Entrega rápida e embalagem impecável.,positivo,2026-02-10 22:01:52.961936
27,12,Sabrina,4,Fantástico! Vale cada centavo. Atendimento da loja também foi excelente.,positivo,2025-12-13 22:01:52.961936
28,11,Joaquim,5,Produto excelente! Superou todas as minhas expectativas. Entrega rápida e embalagem impecável.,positivo,2025-12-18 22:01:52.961936
29,21,Levi,4,Amei o produto! Qualidade incrível pelo preço. Já recomendei para vários amigos.,positivo,2025-12-28 22:01:52.961936
30,6,Lucas,3,"Produto ok, nada além do esperado. Entrega dentro do prazo.",neutro,2026-03-10 22:01:52.961936
